[0.5717864240474757, 0.44056577777346223]
[0.4602695107542621, -0.9347213081633378]
[0.5454834139688274, -0.5842981586666411]
[0.8070761772985667, -0.9347213081633378]
[0.4568454514057044, -0.7076698040461191]
[0.7318788988034881, 0.138682418567639]
[-0.029904650011611886, -0.8602004982878831]
[0.45705778078866355, -0.9347213081633378]
[-0.17019176297796645, -0.8267477887105742]
[0.206207254321786, -0.8263944057911575]
[0.46022008581804724, -0.8212509549929788]
[0.7992177343693665, -0.7512536906258003]
[0.3121429769191892, -0.9347213081633378]
[-0.2731088580692948, 0.05854158723546214]
[0.08888804250129638, -0.8949907923473858]
[0.24706032835735414, -0.7180979780605585]
[0.26423327167439103, -0.7559339869915538]
[0.7507803555323619, -0.5374161500038178]
[-0.11583553421178383, -0.6636312978729635]
[-0.1992064478259889, -0.6008514273570185]
[0.18758621912618942, -0.7184107220542657]
[0.05668058368990918, 0.5567837315219953]
[-0.1281219986461659, -0.9347213081633378]
[-0.15192010543348236, -0.6097164491340095]
[0.05668058368990918, -0.5009070273621322]
[-0.02962427888755042, -0.8465796596304693]
[0.16468412419186415, -0.6949989823974251]
[0.09333260618025163, -0.7111644789257736]
[0.16468412419186415, -0.5140452583473755]
[0.12468222089987742, -0.7755049447823745]
[0.09333260618025163, -0.6097144970942544]
[0.07906151926694253, -0.7289739941164435]
[-0.031452839333486596, -0.11405819458793577]
[0.1999185713829222, -0.8553344006281054]
[-0.17037536391036456, -0.8552602765314338]
[-0.1987041613955323, -0.9347213081633378]
[-0.20744902127055423, -0.8213204431825841]
[0.5558219745890686, 0.08619130380973279]
[0.38878829655202435, -0.9347213081633378]
[-0.2183702207842165, -0.34612107385293783]
[0.3121429769191892, -0.7759474930928728]
[0.5455261581412123, -0.9347213081633378]
[0.44078006854528057, -0.8646201838818146]
[0.3460095135011397, -0.8602545439979793]
[0.31255405532774705, -0.8749585994990066]
[-0.10577867808690908, -0.6233847661228173]
[0.2131686800866675, -0.9347213081633378]
[-0.09885967398623298, -0.849428274209826]
[0.14353085861756396, -0.3527861059179232]
[0.027265639788665322, -0.9347213081633378]
[-0.168513280808125, -0.9347213081633378]
[0.46901900269535024, -0.7360687290835778]
[0.5727596003860372, -0.9347213081633378]
[0.16650399260669535, -0.8211461163543858]
[0.19814579574601704, 0.35731506617142117]
[0.38892809649663507, -0.7858379161555176]
[-0.12724058728367268, -0.9347213081633378]
[0.8269420113951997, -0.7644476689521148]
[0.7507803555323619, -0.26999921662721776]
[0.3470523629724853, -0.40729871070657503]
[-0.17005199631905688, -0.9347213081633378]
[-0.17005199631905688, -0.7643745901370028]
[-0.127460940124296, -0.9347213081633378]
[0.7308838870124603, -0.9347213081633378]
[0.4566401996688443, -0.5767887332448512]
[0.725992053950623, -0.25342242295139294]
[-0.03155594339950781, -0.4883110180964613]
[0.4568454514057044, -0.29252547062101025]
[0.6646058206054137, -0.5375643981971608]
