[1.6585683528969932, -0.8264416629466235]
[1.3917070518635843, -0.9347213081633378]
[1.3402500767221333, -0.9347213081633378]
[0.9925524846111016, -0.06787369036074875]
[0.9480812749580355, -0.5374161500038178]
[1.1938660580649818, -0.9347213081633378]
[1.502886731971288, -0.9347213081633378]
[1.277251350147086, -0.9181250167465477]
[1.5614880126595228, -0.7504994419379034]
[1.9259914176774195, -0.9347213081633378]
[1.131275431457452, -0.13718963038724252]
[1.3917070518635843, -0.9347213081633378]
[1.3917070518635843, -0.8268813366628965]
[0.9525283959233422, -0.7947496554038489]
[1.920202994055061, -0.8267477887105742]
[1.1981900330068587, -0.6963382132676257]
[1.9330684132738427, -0.8311342251445882]
[1.3431908684141236, -0.6364185494691111]
[1.1944720260236048, -0.8427588642272764]
[0.9480812749580355, -0.8212509549929788]
[1.9243953699568879, -0.3391803245864629]
[1.3753877523463383, -0.7644476689521148]
[1.6329379036152545, -0.8354943449129977]
[1.918641770737453, -0.4386356093075635]
[1.9231500223399831, -0.8310523808482257]
[1.4345278913169592, -0.9347213081633378]
[2.1508966983980256, -0.7184107220542657]
[1.319554848091304, -0.735740377713198]
[1.0467400930118966, -0.7512755572395485]
[1.1869339060220458, -0.8872654142720618]
[1.3003772353770462, -0.0035373437269628017]
[1.2736890907459426, -0.5382269768572046]
[1.2755623215976977, -0.8602004982878831]
[0.9568166911398878, -0.9347213081633378]
[1.9264478873254915, -0.8602004982878831]
[1.5614880126595228, -0.8602004982878831]
[1.5614880126595228, -0.8602004982878831]
[1.3779800193415639, -0.828354167719365]
[2.150766604692841, -0.9347213081633378]
[1.581682453412149, -0.7757992448995297]
[0.9468035573672573, 0.12524865951010533]
[1.9264478873254915, -0.843162403203393]
[1.7543069413603443, -0.9347213081633378]
[1.3779800193415639, -0.9347213081633378]
[1.561350102710319, -0.8022862554434977]
[2.4162020025012656, -0.7860666815710678]
[1.3500367144969543, -0.9347213081633378]
[2.150766604692841, -0.9347213081633378]
[1.2491171556864835, -0.9347213081633378]
[1.9231500223399831, -0.14011099184429782]
[2.1219255364765086, -0.4052392165771349]
[1.9290921214129706, -0.5678186316716767]
[1.577904781669585, -0.8721156468775951]
[1.4621291469809363, -0.4673960330212489]
[0.9480812749580355, -0.751310176961249]
[1.9211752528875832, -0.7557073870914627]
[1.4362378095845563, -0.9347213081633378]
[1.9211752528875832, -0.9347213081633378]
[1.6161376688574294, -0.8599095922120238]
[1.1679715927871566, -0.6548340137098903]
[1.1906204106812963, -0.40487514924180185]
[1.3917070518635843, -0.8155297607154818]
[1.3402500767221333, 0.49863345473523824]
[1.3402500767221333, 0.2605050426332181]
[1.3402500767221333, -0.8155297607154818]
[1.0115710232074129, 0.31579851311952833]
[1.5614880126595228, -0.8263653559380141]
[1.190061629262442, 0.3113071288565489]
[1.334508758166857, 0.10820473200540212]
[1.1926729280498993, -0.6540252139236369]
[1.3402500767221333, -0.9347213081633378]
[2.2181976912233727, 0.5161275280122887]
[1.510747052027731, 0.49426746398623256]
[1.635582137702734, -0.5084819700074179]
[1.5559877206200612, -0.9347213081633378]
[2.0893459282846725, -0.9347213081633378]
[1.4366559549443343, -0.8355339365109261]
[1.7370866075124354, -0.8846608582352383]
[1.3917070518635843, -0.9347213081633378]
[1.9291909712854003, -0.9347213081633378]
[1.9284814437946154, -0.45168187903255286]
[1.2361124056390147, -0.25366080604628855]
[1.9291909712854003, -0.3073973742272536]
[1.5073156305872735, -0.7693430360794375]
[1.3450041026698063, 0.017977564094700017]
[1.9211752528875832, -0.08339568051702628]
[1.1906204106812963, -0.9347213081633378]
[1.9211752528875832, -0.9347213081633378]
[1.1944720260236048, -0.1819325874400367]
[1.9211752528875832, -0.4572147982014302]
[1.3676048783412003, -0.9347213081633378]
[1.0459179361947808, -0.9347213081633378]
[1.2318822770188242, -0.18030892549337868]
[1.3917070518635843, -0.8685449746658501]
[1.0739740375788478, -0.7652044406819426]
[1.1957953746851144, -0.9347213081633378]
[1.1107366262209921, -0.5706362031440465]
[0.9490596415704028, 0.017977564094700017]
[1.227894126095128, -0.339464697673751]
[1.194504095506202, -0.25366080604628855]
[1.0881833738490552, -0.05426987738063508]
[1.5595604076876952, -0.2340417792363324]
[1.3394279199050179, -0.4576212484911075]
[1.2987788793911765, -0.5940133942322022]
[1.227894126095128, -0.7645157784077994]
[2.1548840640237588, 0.09098210014940473]
[1.0319922800333465, -0.14073963924644883]
[0.9921838113704543, -0.7353261026197282]
[1.919889005007944, -0.0048302272478331675]
[1.3779800193415639, -0.872018645761859]
[1.4999951462876768, -0.8685699993297776]
[1.3917070518635843, -0.16855804116851938]
[2.4162020025012656, -0.8155297607154818]
[1.227894126095128, 0.12718794178232898]
[1.1647536856969745, 0.11342114865030248]
[1.190815269925151, 0.09819311594243617]
[2.4162020025012656, -0.2638495589258744]
[1.9264478873254915, -0.6367424395436977]
[2.066074779576218, -0.36714251079259497]
[2.066074779576218, -0.8354943449129977]
[1.7734332038746567, -0.5370582174288994]
[2.066074779576218, -0.3389794976404488]
[1.925127752466225, -0.9347213081633378]
[2.066074779576218, -0.9347213081633378]
[1.6001626221009446, -0.8095137835572304]
[1.925127752466225, -0.5376444863016105]
[1.6329379036152545, -0.9347213081633378]
[1.0875963538816347, -0.29292066805949774]
[1.5614880126595228, -0.10095213812641692]
[2.0613904037106887, -0.37187233410401777]
[1.5796195115126894, 0.07412520703123367]
[2.066074779576218, -0.9347213081633378]
[2.066074779576218, 0.2593131271587395]
[1.3409700038824794, -0.44355613948559564]
[1.0255195589485095, -0.9347213081633378]
[1.9211752528875832, -0.9347213081633378]
[0.9468035573672573, -0.9347213081633378]
[1.0861807371411156, -0.9347213081633378]
[1.0233402451401477, -0.9347213081633378]
[1.4103430837544708, -0.7797135814331212]
[1.4345767607781164, -0.0077090478876377985]
[1.192287744344243, -0.11873936366841835]
[1.5101103560843403, 0.06545124215997557]
[1.4767848088334539, -0.20632851820421783]
[2.221191106261401, 0.3386926602966621]
[1.3917070518635843, -0.8550719802479458]
[1.3917070518635843, -0.8354943449129977]
[1.192287744344243, -0.6559820200372493]
[1.3402500767221333, -0.5771466658197698]
[1.0881833738490552, -0.45795511837191377]
[1.1109793159172168, -0.7465030059645348]
[1.5095403128662062, -0.007609221213767739]
[1.5589826321292104, -0.45824094942094934]
[0.9463708438175332, -0.9347213081633378]
[1.297162482250744, 0.20722150619544125]
[1.192287744344243, -0.45824094942094934]
[2.221191106261401, 0.11306308312420066]
[1.3563147956801276, -0.017071200717933395]
[1.9290921214129706, 0.06545124215997557]
[1.895552099566519, -0.5179796386693951]
[1.3917070518635843, 0.11306308312420066]
[1.658791114615638, -0.039867844247126694]
[1.0878479338676719, -0.4372689820379884]
[2.4155088976826735, -0.9347213081633378]
[0.9428771972326766, -0.9347213081633378]
[1.9264478873254915, -0.2528228843522131]
[1.0467400930118966, -0.9347213081633378]
[1.297162482250744, -0.9347213081633378]
[1.0467400930118966, -0.9347213081633378]
[2.1508966983980256, -0.9347213081633378]
[2.150766604692841, 0.01666990589649488]
[1.0467400930118966, 0.09992754121041215]
[2.4155088976826735, -0.052495662206499684]
[1.5061301922064627, -0.8222044873725617]
[1.7309702381744738, -0.2484387263737294]
[2.4155088976826735, -0.9347213081633378]
[0.9478856016355619, -0.45795511837191377]
