[-0.029904650011611886, 0.1797740423710145]
[0.42436738245545613, -0.2031748422659188]
[0.45705778078866355, -0.20597378612234812]
[0.07242102189793267, -0.06068245599259583]
[-0.22595865988291142, 0.10282080553021034]
[-0.17019176297796645, 0.09264886599610339]
[0.206207254321786, -0.11714196344463276]
[0.3121429769191892, 0.06932233461358145]
[-0.2731088580692948, 0.17382266186601225]
[0.08888804250129638, 0.14743860317806476]
[0.120566263413739, -0.11954925439219742]
[-0.2756219396985184, 0.3134779215443879]
[0.24706032835735414, 0.06632259695875621]
[-0.11583553421178383, 0.13304433649049996]
[0.127650987158469, 0.11860373894285284]
[0.18758621912618942, -0.35060492580558783]
[0.0020432984775043644, -0.1252320789993679]
[0.05668058368990918, 0.02247457988081736]
[-0.030285337409420313, 0.3431079142206446]
[-0.15192010543348236, 0.3175052627222545]
[0.05668058368990918, 0.02247457988081736]
[-0.02962427888755042, 0.2351476005323458]
[0.16468412419186415, 0.16670333501482745]
[0.09333260618025163, 0.15301192665022717]
[0.16468412419186415, 0.16670333501482745]
[0.12468222089987742, -0.1414725773349806]
[0.09333260618025163, 0.15301192665022717]
[0.07906151926694253, -0.16838796862172734]
[-0.031452839333486596, 0.23210387063198595]
[-0.18252872733391717, 0.255149288499078]
[0.1999185713829222, 0.04033327324342194]
[-0.22523394387375037, 0.20244296754252675]
[-0.17037536391036456, 0.2096919901324316]
[-0.1987041613955323, 0.08739218286764781]
[-0.20744902127055423, 0.2352081427981068]
[-0.22523394387375037, 0.20244296754252675]
[0.8768511575693985, -0.0020143448866055966]
[-0.2996442057513924, 0.22324913906772872]
[-0.2183702207842165, 0.41115235245428916]
[0.3121429769191892, 0.020040930284310057]
[0.44078006854528057, -0.19229499701094546]
[0.3460095135011397, -0.19603907331326414]
[0.31255405532774705, -0.02868830144743432]
[-0.10577867808690908, 0.1064965427235508]
[-0.09885967398623298, 0.34684661760379826]
[0.14353085861756396, -0.16240511978575828]
[0.027265639788665322, 0.21426764146437957]
[-0.168513280808125, 0.07474781031955634]
[0.5727596003860372, -0.19535279381000506]
[0.16650399260669535, -0.2750853503947862]
[0.017606734524651037, 0.06794383379318222]
[0.47223933167022764, 0.0850027814456223]
[0.19814579574601704, 0.26996805223990045]
[0.38892809649663507, -0.28251332601582935]
[-0.12724058728367268, 0.17041239477618952]
[0.8269420113951997, 0.726489861344415]
[0.7507803555323619, 1.0399517329248822]
[-0.17005199631905688, 0.8085433995526518]
[0.7308838870124603, 0.726489861344415]
[0.4566401996688443, 0.5629646368025855]
[-0.1978306197773471, 1.0193439615265507]
[0.725992053950623, 0.06804229813749632]
[-0.03155594339950781, 1.1543414887538417]
[-0.03228200396527236, 1.1686767388819426]
[-0.0914332506823863, 1.199837749927066]
[0.45889796877430766, 0.5642082687789971]
[0.4568454514057044, 0.9164297171383539]
[-0.17005199631905688, 1.001383677362844]
[0.6646058206054137, 0.8906790734347707]
[0.8584599058862075, 1.0431817276278395]
[0.5558219745890686, 0.15145800849570035]
[0.5361374381717382, 0.4710230838556656]
[0.3240881506748382, 0.28049315216450915]
[0.4992555915344651, 0.10056835320929657]
[0.24903833042148832, 0.8908433447825349]
[0.6906163769665997, 0.7822727676728455]
[0.45776690910683077, 0.15407682708324624]
[0.13702953253168076, 0.16670333501482745]
[0.45889796877430766, 0.5457092431298712]
[0.6203626684377477, 0.04677376753839613]
[0.2967251373079511, 1.0521934195582099]
[0.03820032545630159, 1.1535132298575512]
[-0.19367256167478547, 0.22164667526769305]
[0.1640196401516689, -0.05388117620959675]
[0.5612564925051885, -0.030618974865360287]
[0.3596929626251601, -0.28796784677363574]
[-0.3247736877320245, 0.07817936119810483]
[0.18838185475565625, 1.059023264532006]
[0.6710546417822504, 0.23342941103005502]
[-0.02979615410323664, 0.7613338860960823]
[0.24785649818619507, 0.06932233461358145]
[0.45954022256798427, -0.07649383704380988]
[0.3719320476749782, -0.2043537307616387]
[0.13702953253168076, 0.5780336051092856]
[-0.1534363795256036, 0.08072629594597469]
[0.20743349237242434, 0.7134511123257478]
[-0.06501735214846505, 0.16670333501482745]
[0.4599993195574606, 1.059023264532006]
[0.641278266623241, 0.8085433995526518]
[0.3127595945320259, 0.23359368237781925]
[0.22798490102123042, 0.42133236553694836]
[0.22798490102123042, -0.29493152347233714]
[0.3950914505764301, 0.3634037582741248]
[0.21314159352486345, -0.2044632449934816]
[0.8991629443396628, 0.5528598782678441]
[0.03929267652836237, 1.052513428677231]
[-0.029792457503945474, -0.13815813030576332]
[-0.13921179651934865, -0.17814831446434226]
[0.30323073045025484, -0.009079899546622788]
[-0.08216841533799744, 0.14646966390390664]
[-0.10507147636525727, 0.3976788869717859]
[-0.3051850866452761, 0.18439828398978583]
[-0.21801903554170962, 0.14646966390390664]
[-0.21801903554170962, 0.18439828398978583]
[-0.21801903554170962, 0.10854104381802776]
[-0.21801903554170962, -0.009079899546622788]
[-0.08216841533799744, 0.06932233461358145]
[0.16468412419186415, 0.551838771031522]
[-0.2770673635140472, 0.14646966390390664]
[-0.21801903554170962, 0.3240322015545436]
[-0.3051850866452761, 0.020040930284310057]
