[-0.10616940973085544, -0.9349120941639971]
[-0.11309469012900304, -0.8214437955340688]
[-0.7475879827627373, -0.9349120941639971]
[-0.31487948682718714, -0.9349120941639971]
[-0.16445370947368257, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.3841311927596831]
[-0.3605784848152006, -0.7864425452749715]
[-0.3895946195510541, -0.34596184963355703]
[-0.7475879827627373, -0.476210461404712]
[-0.7475879827627373, -0.8647692843572149]
[-0.28271170895188247, -0.7760438644896805]
[-0.06381365769143142, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.4606273199165306, -0.8647692843572149]
[-0.3899908490620797, -0.860401048452367]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.33859997157692645]
[-0.7475879827627373, -0.4564254994134079]
[-0.28271170895188247, -0.8751138476972825]
[-0.020557312862398706, -0.9349120941639971]
[-0.7475879827627373, -0.7861690703276716]
[-0.7475879827627373, -0.9349120941639971]
[-0.3898036254318699, -0.9349120941639971]
[-0.21113041419553977, -0.6233904163297171]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.815649669646583]
[-0.7475879827627373, -0.8646884955172303]
[-0.7475879827627373, -0.6838679850969542]
[-0.7475879827627373, -0.6748185087802748]
[-0.5927841835837226, -0.40511514686999706]
[-0.16649264049916873, -0.9349120941639971]
[-0.5678170974219837, -0.849568340839609]
[-0.7475879827627373, -0.5677912395625657]
[-0.7475879827627373, -0.593972300655107]
[-0.13588614549228473, -0.4673089247689873]
[-0.36019108792035825, -0.7513918978160797]
[-0.7475879827627373, -0.7557917227405043]
[-0.18523765153992905, -0.9349120941639971]
[-0.6186492861285422, -0.9349120941639971]
[-0.6108596669360152, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.33317895228068034]
[-0.25845048927488495, -0.8600558915413649]
[-0.14002691203963985, -0.6548583651632837]
[-0.4149609937429015, -0.7361413866349736]
[-0.21107667969008045, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.05091213835663478, -0.9349120941639971]
[-0.3050200131130844, -0.7859401688771204]
[-0.2312654013168145, -0.8495310402481212]
[-0.28201369652874303, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.28326911455597226, -0.9349120941639971]
[-0.1707970504418618, -0.9349120941639971]
[-0.3599973894729371, -0.815649669646583]
[-0.5151498458573098, -0.26979472666303367]
[-0.7475879827627373, -0.815649669646583]
[-0.21077935249616128, -0.40717586567443964]
[-0.08285012911274603, -0.9349120941639971]
[-0.6505450606047214, -0.9349120941639971]
[-0.4155335014692696, -0.7644640797249461]
[-0.6613276075111676, -0.9349120941639971]
[-0.6108070791222358, -0.5767666751927835]
[-0.5686958040973036, -0.9349120941639971]
[-0.5543926481919924, -0.4882363469077644]
[-0.5151498458573098, -0.8687214485568323]
[-0.7475879827627373, -0.6362632129344395]
[-0.5687894159124085, -0.5935042093866786]
[-0.6104494819885351, -0.9349120941639971]
[-0.7475879827627373, -0.5954728859221261]
[-0.7475879827627373, -0.9349120941639971]
[-0.14501139087994683, -0.868696409012027]
[-0.7475879827627373, -0.508419293444114]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.686324478060512]
[-0.08603328541652082, -0.5375190154548523]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.826570502124195]
[-0.7475879827627373, -0.751198382493985]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.815649669646583]
[-0.24923556423452473, -0.33724471675286494]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.8613772313786485]
[-0.5976278944366551, -0.8848218758666833]
[-0.7475879827627373, -0.6971013913837641]
[-0.7475879827627373, -0.5618776104720503]
[-0.7475879827627373, -0.9349120941639971]
[-0.3254503341248159, -0.4515854263828977]
[-0.5688307088839675, -0.4515854263828977]
[-0.7475879827627373, -0.6963872451291688]
[-0.7475879827627373, -0.815649669646583]
[-0.7475879827627373, -0.9349120941639971]
[-0.28410355408305266, -0.9349120941639971]
[-0.6023686589550312, -0.9349120941639971]
[-0.4155335014692696, -0.6634170868154811]
[-0.7475879827627373, -0.9349120941639971]
[-0.43821228072777446, -0.7652944237392304]
[-0.7475879827627373, -0.4571216356936113]
[-0.30502577009480353, -0.9349120941639971]
[-0.5367719981275821, -0.45814839711236793]
[-0.1016036606130703, -0.9349120941639971]
[-0.41578254233023965, -0.9349120941639971]
[-0.5976141113403016, -0.7652944237392304]
[-0.7475879827627373, -0.9349120941639971]
[-0.1019666569258892, -0.570610486499459]
[-0.5151498458573098, -0.7559230474482619]
[-0.7475879827627373, -0.9349120941639971]
[-0.025886619977688832, -0.9349120941639971]
[-0.41566632326178693, -0.3393015152505583]
[-0.7475879827627373, -0.9349120941639971]
[-0.4567295654586196, -0.25344660047149276]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.28325352279082283, -0.5618776104720503]
[-0.36064684897311405, -0.9349120941639971]
[-0.41526298865355193, -0.9349120941639971]
[-0.4631993866872028, -0.48830350445018406]
[-0.7475879827627373, -0.9349120941639971]
[-0.41566632326178693, -0.9349120941639971]
[-0.3289889850778499, -0.7646053519531297]
[-0.41566632326178693, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.3116138240487044, -0.8781772550721415]
[-0.7475879827627373, -0.8721721457211868]
[-0.7475879827627373, -0.8781772550721415]
[-0.3971077331935731, -0.8781772550721415]
[-0.5386878850376062, -0.8687214485568323]
[-0.13617462264193908, -0.8753702840226195]
[-0.7475879827627373, -0.339493323071439]
[-0.48908201741931795, -0.8807314838443533]
[-0.4073524490316044, -0.3784336213657429]
[-0.7475879827627373, -0.8648690829394841]
[-0.24970549351131174, -0.8781772550721415]
[-0.7475879827627373, -0.8781772550721415]
[-0.7475879827627373, -0.815649669646583]
[-0.7475879827627373, -0.4794098089273188]
[-0.5541347232496758, -0.9349120941639971]
[-0.16730536125757933, -0.9349120941639971]
[-0.4155335014692696, -0.6367560328704618]
[-0.4155335014692696, -0.3669957869382156]
[-0.25810925212302993, -0.8356261257532499]
[-0.4155335014692696, -0.5370125336869789]
[-0.16666688198110682, -0.33881602669380584]
[-0.4155335014692696, -0.9349120941639971]
[-0.16666688198110682, -0.8096301150968082]
[-0.11439443739967638, -0.9349120941639971]
[-0.41566632326178693, -0.9349120941639971]
[-0.4375155081308972, -0.37172842283176377]
[-0.4155335014692696, -0.9349120941639971]
[-0.7475879827627373, -0.4434548548774718]
[-0.48913383420367484, -0.9349120941639971]
[-0.41578254233023965, -0.9349120941639971]
[-0.4379595690491642, -0.9349120941639971]
[-0.5105288093383152, -0.9349120941639971]
[-0.6023686589550312, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.5556913813640705, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.35222178036931506, -0.9349120941639971]
[-0.3599973894729371, -0.6697842846508043]
[-0.3899908490620797, -0.9349120941639971]
[-0.28326911455597226, -0.9349120941639971]
[-0.5160525182336416, -0.8495201982095286]
[-0.41566632326178693, -0.9349120941639971]
[-0.7475879827627373, -0.20608616655757747]
[-0.536280585575985, -0.5771248206117547]
[-0.5151498458573098, -0.4578623960943406]
[-0.7475879827627373, -0.8037234271948417]
[-0.5151498458573098, -0.8218184157423113]
[-0.5030913378604273, -0.7228384443412024]
[-0.36019108792035825, -0.6960290997101977]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.8267152554265493]
[-0.7475879827627373, -0.8147105954377846]
[-0.7475879827627373, -0.9349120941639971]
[-0.28326911455597226, -0.7812056481253082]
[-0.33757908032440825, -0.9349120941639971]
[-0.24986177953912403, -0.9349120941639971]
[-0.46874582931683784, -0.6950472178874002]
[-0.7475879827627373, -0.9349120941639971]
[-0.3895946195510541, -0.696711327804488]
[-0.07861968630321456, -0.9349120941639971]
[-0.04936561057416821, -0.9349120941639971]
[-0.3895946195510541, -0.9349120941639971]
