[-1.1909689816339348, 2.240331385383277]
[-0.9460948932411859, 1.9256695034284463]
[-1.3854215508869046, 1.9256695034284463]
[-1.4097528489724744, 1.6561819417565635]
[-0.4234611336440141, 1.4364304599225168]
[-1.0593389574694378, 0.8482273403790592]
[-0.20368379877010503, 1.6659915851415978]
[-0.42360916472390253, 2.03470188899456]
[-1.0148291662061968, 1.148927987443068]
[-0.4240233367878456, 0.6805695341747353]
[-1.3202094810717333, 0.5580474040126356]
[-1.190497125701501, 1.9455355736798994]
[-0.2840792968352956, 2.1385202561225847]
[-0.4236117587034261, 1.728814807300413]
[-0.4234480082787885, 1.4290177471421237]
[-0.8183151416616972, 1.1558219389473317]
[-1.4097528489724744, 2.240331385383277]
[-0.4284370510215081, 2.240331385383277]
[-1.106319590439119, 1.7134998731429292]
[-1.3202094810717333, 0.49836876382406076]
[-1.4097528489724744, 0.4940261530053977]
[-1.2865366599493957, 2.0267273390554026]
[-0.34122205776433684, 0.9003306524398456]
[-1.4097528489724744, 0.5158635524805125]
[-0.9735675398307762, 0.9380420109276447]
[-0.8720822059626769, 2.0492806072152643]
[-0.2650995991090993, 1.0501793315242276]
[-1.4097528489724744, 1.8462052224226349]
[-1.2688739101066024, 0.49400259453802714]
[-0.9866929724983847, 1.9029654231410715]
[-1.4097528489724744, 1.8380250758485073]
[-0.49922770043296605, 1.8298449292743795]
[-1.4097528489724744, 1.8251705598034493]
[-1.2689906746325095, 1.3318350791552866]
[-1.278256532047045, 1.9029654231410715]
[-0.49022905029278335, 0.5974808066170234]
[-1.0515662529751528, 2.240331385383277]
[-1.3394792613986184, 1.0140247796219477]
[-0.4240233367878456, 1.4552048397463118]
[-1.0647475197078542, 1.4488838173935767]
[-0.8170906329509088, 1.5655796146748386]
[-0.06085983229877181, 1.2104909743761418]
[-0.14349877233761513, 1.4418128432362802]
[-0.5329522011693377, 1.4528241949641127]
[-0.9705613228629879, 1.4488838173935767]
[-0.42360916472390253, 1.975460413678923]
[-0.470944061567834, 2.240331385383277]
