[-0.4793901324872441, 0.5719408147557268]
[-0.6370432630409879, 0.8073063257725624]
[-0.5753464900086209, 0.7320848355227]
[-0.2311592817004842, -0.029943989675420384]
[-0.1733290562905049, 0.42447430770010375]
[-0.3606768520518221, 0.4571752315725869]
[-0.13599170850705383, 0.07241462869343684]
[0.5317984010444471, 0.16541152503482048]
[-0.12775295101493084, -0.22606112432605213]
[-0.1943852169278201, -0.17027627179212781]
[-0.18624731659378016, 0.2062439371370308]
[-0.7475879827627373, 0.46033855478980207]
[-0.7475879827627373, 0.31221376854514765]
[-0.36019108792035825, 0.08888695129007541]
[-0.4896845954271115, 0.12057537184447407]
[-0.45651680231359854, 0.2471101649014374]
[0.1665196902595686, 0.2642886375022573]
[-0.2635547196464901, 0.7509923780760149]
[-0.11424156067710403, -0.11590254159892285]
[-0.7475879827627373, -0.19930029868614882]
[-0.7475879827627373, 0.0020142453015867087]
[-0.23105878963956525, -0.12819296198583405]
[-0.11344277547985616, -0.15199873120372492]
[0.08971017987137932, 0.05666912243457814]
[0.02848645781406163, -0.02966352827845224]
[-0.7475879827627373, 0.16470743753597006]
[-0.009381677590870654, 0.09333294601398427]
[-0.5538895353415478, 0.16470743753597006]
[-0.7475879827627373, 0.12469265457210194]
[-0.7475879827627373, 0.09333294601398427]
[0.09702734029477512, -0.03149267747783815]
[0.09840307408224164, -0.18261720836039444]
[0.1997439197509793, 0.19995322939019156]
[-0.4896315778438262, -0.17045993183970723]
[0.09704637387952014, -0.2075455260454704]
[-0.10616940973085544, 0.5559712251201313]
[-0.7475879827627373, -0.22533617497538388]
[0.09666279787741189, 0.38888376616795023]
[-0.7475879827627373, -0.21847024192847292]
[0.41541684585163413, 0.31221376854514765]
[-0.06381365769143142, 0.4408922782887678]
[-0.4570403116309531, 0.31262497931128314]
[-0.7475879827627373, 0.9064717020869527]
[0.209220855927329, 0.7863221814384224]
[-0.7475879827627373, -0.1058424474029468]
[-0.21113041419553977, 0.21320760431725255]
[0.3450241805196829, 0.14354736110775054]
[-0.7475879827627373, 0.027244707613335993]
[-0.18523765153992905, -0.16859724919051117]
[-0.08310869919294661, 0.4691403047113596]
[0.2496466046057094, 0.572914304434177]
[-0.14002691203963985, 0.16652789190562145]
[-0.7475879827627373, 0.01758269240903647]
[-0.7475879827627373, 0.472361670556414]
[-0.7475879827627373, 0.1981798829612329]
[-0.28271170895188247, -0.12731126682961585]
[0.027205806922020716, 0.8271785562004637]
[-0.7475879827627373, 0.3471343945995674]
[-0.7475879827627373, -0.15168132094748638]
[-0.3986052337954849, -0.17013646013164183]
[-0.6505450606047214, -0.17013646013164183]
[-0.008012092609104713, 0.7310895033612815]
[-0.7012397485672023, 0.45675751600146997]
[-0.6613276075111676, -0.19792402765323944]
[-0.6108070791222358, 0.7261960952442705]
[0.06627104001536988, -0.031595814740943265]
[-0.5543926481919924, -0.03232210908113062]
[-0.008012092609104713, -0.0914924011082522]
[-0.5687894159124085, 0.45901601205547504]
[-0.6104494819885351, 0.4569628338245611]
[-0.21077935249616128, -0.17013646013164183]
[0.41652367810246105, 0.45901601205547504]
[-0.36068146373661447, 0.6647900969759337]
[-0.08603328541652082, 0.8587065987120911]
[-0.48908201741931795, 0.5559712251201313]
[-0.3254503341248159, 0.21331901708947262]
[-0.7475879827627373, 0.31221376854514765]
[0.22009153358479958, 0.46235242668070975]
[-0.7475879827627373, -0.17013646013164183]
[-0.4155335014692696, 0.16404273954754475]
[0.19439815101188965, 0.01860928152449312]
[-0.7475879827627373, 0.5362803507451208]
[-0.30502577009480353, 0.32416278836575557]
[-0.28271170895188247, -0.1700316013862773]
[-0.5367719981275821, 0.16404273954754475]
[-0.43821228072777446, 0.24908880383570697]
[-0.5976141113403016, 0.4578845882133915]
